gene_id,1622003800C,1621001800C,1622003500C,1621003700C,1621002900C,1621002200C,162200380CP,162100180CP,162200350CP,162100370CP,162100290CP,162100220CP
MSTRG.5753|ENSG00000221930,61,10,39,35,29,30,26,12,23,60,23,33
ENSG00000134597,604,617,676,492,623,409,476,656,369,595,535,609
ENSG00000147262,0,1,0,0,0,0,1,0,0,0,0,1
ENSG00000134594,27,33,26,23,55,11,10,11,21,10,11,11
MSTRG.5828|ENSG00000102034,970,2029,1329,1681,1225,1462,828,1140,1143,1056,1334,792
NONHSAG115228.1,33,12,8,21,12,12,11,8,18,18,8,7
ENSG00000235189,57,58,51,55,42,102,74,42,127,60,58,64
ENSG00000171388,143,557,193,806,275,584,39,466,99,161,114,186
NONHSAG103580.2,1,2,0,0,0,3,1,0,0,1,0,0
NONHSAG115074.1,5,1,5,0,0,0,2,1,8,6,5,5
NONHSAG103889.1,0,1,0,0,0,0,1,0,1,0,1,0
NONHSAG103888.1,0,0,0,1,0,4,0,1,0,2,1,2
MSTRG.5826|ENSG00000102038,555,2039,1730,1608,1004,1688,2339,2565,1805,2412,2207,2325
NONHSAG115224.1,3,1,0,0,0,7,1,0,0,4,2,1
NONHSAG115223.1,1,1,1,0,2,3,0,2,0,1,0,1
ENSG00000234592,5,3,0,1,0,4,0,3,4,2,5,2
NONHSAG115222.1,0,0,0,0,0,3,0,0,0,0,0,0
NONHSAG103577.1,0,0,0,0,1,0,0,0,0,0,1,0
ENSG00000260683,0,3,0,1,0,0,0,1,0,2,1,1
ENSG00000226414,0,0,0,0,3,0,0,0,0,0,0,0
ENSG00000198889,0,3,0,0,0,0,1,2,6,7,0,4
ENSG00000232177,7,1,0,0,0,0,5,0,0,0,0,0
ENSG00000230916,0,0,0,0,1,0,0,0,0,1,1,0
NONHSAG055274.2,0,0,1,1,0,0,0,0,0,0,0,0
NONHSAG103575.1,0,0,3,1,0,1,0,0,2,0,0,0
NONHSAG115219.1,202,184,659,155,143,218,360,125,349,212,191,221
NONHSAG115218.1,0,1,91,4,0,0,0,0,2,0,1,2
NONHSAG115217.1,0,0,1,0,0,0,0,0,0,0,0,0
ENSG00000198354,40,36,6,3,19,20,13,46,21,50,21,33
NONHSAG103883.1,1,0,0,0,0,0,0,0,0,0,0,0
NONHSAG115216.1,0,0,0,0,0,0,1,0,0,0,0,0
NONHSAG055270.2,3,4,5,7,5,8,11,3,3,6,4,9
NONHSAG103573.1,3,2,11,7,3,3,6,4,9,7,2,4
ENSG00000232599,4,1,0,0,2,2,6,3,4,2,14,3
NONHSAG103881.1,0,1,0,0,0,0,1,0,2,1,2,0
NONHSAG103570.1,6,4,2,6,1,6,10,0,15,6,1,5
NONHSAG115215.1,0,0,0,0,0,0,2,0,2,0,0,0
ENSG00000183918,287,155,297,20,250,63,51,36,73,48,67,58
ENSG00000237426,1,0,3,1,0,2,2,0,7,2,0,0
NONHSAG055260.2,1,0,1,1,0,1,0,0,1,0,0,0
ENSG00000232412,0,3,2,1,2,0,0,2,9,4,3,3
ENSG00000252627,0,0,0,0,1,0,0,0,0,0,0,0
NONHSAG103567.1,8,8,6,8,6,10,24,6,22,14,10,13
NONHSAG055250.2,2,1,0,0,0,0,0,1,3,0,0,0
MSTRG.5825|ENSG00000125676,3310,2845,3053,3632,3106,2403,2974,3102,2452,3329,2968,3279
ENSG00000179101,0,1,0,0,4,0,0,0,0,0,0,1
NONHSAG103880.1,0,0,0,0,0,0,0,0,1,0,0,0
ENSG00000125675,38,212,77,35,37,40,124,397,211,227,90,171
ENSG00000224236,1,0,0,0,0,1,2,0,0,1,0,0
NONHSAG055240.2,1,0,0,0,0,0,1,1,2,0,0,0
NONHSAG103562.1,0,0,0,0,0,0,1,1,0,0,0,1
